Chromosome	Start	End	Value	Array
chr4	170087507	170087507	0.008032486774027348	0
chr4	170087865	170087890	0.09141538292169571	0
chr4	170087899	170087924	-0.22204060852527618	0
chr4	170088517	170088517	0.15125828981399536	0
chr4	170091790	170091790	0.18142685294151306	0
chr4	170091806	170091831	-0.6029183268547058	0
chr4	170091905	170091930	-0.41287916898727417	0
chr4	170091906	170091930	-0.453795850276947	0
chr4	170097336	170097361	-0.10579206049442291	0
chr4	170097351	170097376	0.005997019819915295	0
chr4	170097518	170097543	0.04376170411705971	0
chr4	170097768	170097793	-0.14795741438865662	0
chr4	170105742	170105767	-0.1523551642894745	0
chr4	170106144	170106169	-0.15494263172149658	0
chr4	170106145	170106169	-0.12618739902973175	0
chr4	170107286	170107311	0.13387054204940796	0
chr4	170107287	170107311	-0.1575520634651184	0
chr4	170107302	170107327	0.32212305068969727	0
chr4	170109851	170109876	0.3104511797428131	0
chr4	170109937	170109962	0.035821568220853806	0
chr4	170109973	170109998	0.08054836839437485	0
chr4	170120087	170120112	0.3135860562324524	0
chr4	170120148	170120173	0.17009957134723663	0
chr4	170120149	170120173	0.2750709056854248	0
chr4	170120698	170120723	0.07307165116071701	0
chr4	170121345	170121370	0.026837971061468124	0
chr4	170121369	170121394	0.08444008976221085	0
chr4	170126094	170126119	0.08407393097877502	0
chr4	170126095	170126119	0.23024339973926544	0
chr4	170126118	170126143	-0.4829181134700775	0
chr4	170126817	170126842	0.17418676614761353	0
chr4	170127256	170127281	-0.06736372411251068	0
chr4	170127342	170127367	0.22900797426700592	0
chr4	170127630	170127655	-0.7155100703239441	0
chr4	170131798	170131798	0.1941225826740265	0
chr4	170132712	170132737	-0.26625147461891174	0
chr4	170132713	170132737	-0.18526563048362732	0
chr4	170132743	170132743	1.08250892162323	0
chr4	170132788	170132813	-0.49253609776496887	0
chr4	170133155	170133180	-0.03620779141783714	0
chr4	170133162	170133187	-0.08282684534788132	0
chr4	170133956	170133956	0.21952085196971893	0
chr4	170134310	170134335	-0.13317830860614777	0
chr4	170134370	170134395	0.1485186517238617	0
chr4	170134371	170134395	0.1942484974861145	0
chr4	170140985	170141010	-0.2852448523044586	0
chr4	170141221	170141246	0.14337335526943207	0
chr4	170141222	170141246	-0.24636724591255188	0
chr4	170144014	170144039	0.25888869166374207	0
chr4	170144090	170144115	-0.10362311452627182	0
chr4	170146401	170146426	-0.2707718312740326	0
chr4	170146545	170146570	-0.21175052225589752	0
chr4	170147015	170147015	-0.01760479062795639	0
chr4	170156746	170156746	-2.219754219055176	0
chr4	170157520	170157545	-0.1086028665304184	0
chr4	170157521	170157545	0.1362493932247162	0
chr4	170157611	170157611	-0.015143604017794132	0
chr4	170158097	170158097	0.2326047718524933	0
chr4	170158207	170158232	0.12640558183193207	0
chr4	170158375	170158400	-0.2542499005794525	0
chr4	170158694	170158719	-0.6416692137718201	0
chr4	170159718	170159718	0.07021594047546387	0
chr4	170164657	170164657	0.31311583518981934	0
chr4	170164724	170164749	-0.2963036596775055	0
chr4	170164815	170164840	0.07564612478017807	0
chr4	170165103	170165128	0.26905083656311035	0
chr4	170168005	170168030	0.519994854927063	0
chr4	170168517	170168542	0.00401828158646822	0
chr4	170169393	170169418	-0.36411139369010925	0
chr4	170169428	170169453	0.10554330050945282	0
chr4	170169883	170169883	-0.6384868025779724	0
chr4	170170025	170170050	0.09278801083564758	0
chr4	170170657	170170682	-0.044740933924913406	0
chr4	170170658	170170682	-0.005074184853583574	0
chr4	170172532	170172557	0.12372022122144699	0
chr4	170172533	170172557	0.08797107636928558	0
chr4	170172949	170172974	0.042150795459747314	0
chr4	170173357	170173357	0.40800905227661133	0
chr4	170173817	170173842	0.31960606575012207	0
chr4	170173834	170173859	0.18929798901081085	0
chr4	170174372	170174372	0.056855980306863785	0
chr4	170175800	170175825	-0.4312562942504883	0
chr4	170175921	170175946	0.23584625124931335	0
chr4	170176039	170176064	0.11773145198822021	0
chr4	170176546	170176571	0.10054554045200348	0
chr4	170177730	170177730	-0.053224578499794006	0
chr4	170178545	170178570	-0.22254455089569092	0
chr4	170178978	170179003	-0.33032625913619995	0
chr4	170180916	170180941	0.26763951778411865	0
chr4	170181022	170181047	-0.19382387399673462	0
chr4	170184390	170184415	0.12306749075651169	0
chr4	170184424	170184449	0.144389808177948	0
chr4	170185383	170185408	-0.11954092234373093	0
chr4	170186287	170186312	0.17070458829402924	0
chr4	170186367	170186392	0.08578712493181229	0
chr4	170186544	170186544	0.06685581058263779	0
chr4	170189437	170189462	-0.27871134877204895	0
chr4	170189471	170189496	0.2020774930715561	0
chr4	170195347	170195372	0.35853907465934753	0
chr4	170195561	170195586	0.12167822569608688	0
chr4	170198780	170198805	0.093012236058712	0
chr4	170198810	170198810	-0.2609630823135376	0
chr4	170198825	170198850	0.07596482336521149	0
chr4	170203367	170203367	-0.373165100812912	0
chr4	170203810	170203835	-0.49887576699256897	0
chr4	170203893	170203918	-0.38578304648399353	0
chr4	170210940	170210965	0.3257776200771332	0
chr4	170210968	170210993	0.4308790862560272	0
chr4	170219515	170219540	-0.3964674472808838	0
chr4	170219565	170219590	0.05099520459771156	0
chr4	170222964	170222989	0.1497894823551178	0
chr4	170223249	170223274	0.25835248827934265	0
chr4	170229933	170229933	0.3110477030277252	0
chr4	170230007	170230007	0.04321153461933136	0
chr4	170230174	170230174	0.04305630922317505	0
chr4	170230541	170230566	-0.19261249899864197	0
chr4	170230599	170230624	0.050278518348932266	0
chr4	170230625	170230625	0.1280641108751297	0
chr4	170230769	170230769	-0.7038397789001465	0
chr4	170240951	170240976	-0.04664357379078865	0
chr4	170240953	170240978	-0.05663565918803215	0
chr4	170245120	170245145	-0.12315266579389572	0
chr4	170245260	170245260	-0.3244441747665405	0
chr4	170245354	170245379	0.02859559841454029	0
chr4	170248401	170248426	-0.02784775011241436	0
chr4	170248489	170248489	-0.06593815237283707	0
chr4	170248517	170248542	0.4059516489505768	0
chr4	170252406	170252431	0.3956444561481476	0
chr4	170252428	170252453	0.11592856794595718	0
chr4	170256675	170256675	-0.32789987325668335	0
chr4	170256949	170256974	0.21711857616901398	0
chr4	170257010	170257035	0.26565033197402954	0
chr4	170257160	170257160	0.1783803254365921	0
chr4	170261191	170261191	-0.24169795215129852	0
chr4	170261210	170261235	-0.30106374621391296	0
chr4	170261334	170261359	0.03490829095244408	0
chr4	170262104	170262104	-0.02085987664759159	0
chr4	170262908	170262908	-0.48067420721054077	0
chr4	170263032	170263032	-0.41770824790000916	0
chr4	170265105	170265130	0.11576948314905167	0
chr4	170265338	170265363	-0.1660872995853424	0
chr4	170271309	170271309	0.020677462220191956	0
chr4	170271340	170271365	0.0727604404091835	0
chr4	170271355	170271380	0.07167177647352219	0
chr4	170271392	170271392	-0.3436359763145447	0
chr4	170271641	170271641	-0.152948796749115	0
chr4	170274724	170274749	-0.13811099529266357	0
chr4	170274938	170274963	0.15919364988803864	0
chr4	170280021	170280046	-0.051103509962558746	0
chr4	170280207	170280232	-0.30631640553474426	0
chr4	170285483	170285508	-0.1106758788228035	0
chr4	170285528	170285553	-0.46776053309440613	0
chr4	170293759	170293784	0.18002863228321075	0
chr4	170293964	170293989	0.06720388680696487	0
chr4	170297899	170297899	-0.003369174664840102	0
chr4	170298605	170298605	0.026588046923279762	0
chr4	170299021	170299046	0.039660513401031494	0
chr4	170299205	170299205	-0.008335759863257408	0
chr4	170299402	170299427	0.39156702160835266	0
chr4	170303478	170303503	0.37852245569229126	0
chr4	170303504	170303529	0.15791967511177063	0
chr4	170303820	170303820	-0.2598079741001129	0
chr4	170309064	170309089	-0.15212439000606537	0
chr4	170309226	170309251	0.1545238494873047	0
chr4	170312431	170312456	-0.24914292991161346	0
chr4	170312631	170312631	-0.261312335729599	0
chr4	170312772	170312797	0.2208520770072937	0
chr4	170312826	170312826	0.1802489012479782	0
chr4	170314951	170314951	-1.257330060005188	0
chr4	170316409	170316409	-0.9451407194137573	0
chr4	170317148	170317148	-0.1087769865989685	0
chr4	170317165	170317190	-0.008914314210414886	0
chr4	170317166	170317190	0.005623313598334789	0
chr4	170317218	170317243	0.22839699685573578	0
chr4	170322866	170322891	-0.2484206259250641	0
chr4	170322867	170322891	-0.027791684493422508	0
chr4	170322951	170322976	0.2517416179180145	0
chr4	170323113	170323113	0.25104203820228577	0
chr4	170325596	170325621	0.1625974327325821	0
chr4	170325801	170325826	-0.149367555975914	0
chr4	170325802	170325826	-0.13150638341903687	0
chr4	170326359	170326359	-0.3358083963394165	0
chr4	170328133	170328158	0.2909103035926819	0
chr4	170328209	170328209	-0.15495260059833527	0
chr4	170328319	170328344	0.032958269119262695	0
chr4	170328395	170328420	-0.1141519695520401	0
chr4	170328879	170328879	-0.12445548921823502	0
chr4	170331972	170331972	-0.05495664104819298	0
chr4	170332372	170332397	-0.01186448335647583	0
chr4	170332769	170332794	-1.8419897556304932	0
chr4	170332841	170332866	-0.10015856474637985	0
chr4	170333251	170333276	0.19992855191230774	0
chr4	170333252	170333276	0.006538631394505501	0
chr4	170333681	170333706	0.3511140048503876	0
chr4	170336881	170336906	-0.016436761245131493	0
chr4	170336962	170336962	0.15822984278202057	0
chr4	170337524	170337549	-2.224484443664551	0
chr4	170337525	170337549	-2.655338764190674	0
chr4	170337630	170337630	-0.17271831631660461	0
chr4	170337668	170337693	-0.09734591841697693	0
chr4	170338147	170338172	0.2684459686279297	0
chr4	170338152	170338177	-0.21417498588562012	0
chr4	170338153	170338177	0.05054497718811035	0
chr4	170341298	170341298	-0.16199640929698944	0
chr4	170341341	170341366	0.007039329502731562	0
chr4	170341662	170341687	-0.1367710828781128	0
chr4	170341699	170341724	-0.3565175235271454	0
chr5	122781869	122781894	0.027132734656333923	0
chr5	122784214	122784214	0.5164228677749634	0
chr5	122784332	122784357	-0.4431171715259552	0
chr5	122784351	122784376	-0.3074437379837036	0
chr5	122786029	122786029	-0.10449185967445374	0
chr5	122786089	122786089	-0.39542531967163086	0
chr5	122787905	122787930	0.3106803894042969	0
chr5	122788204	122788204	0.14119766652584076	0
chr5	122788308	122788333	0.4204561412334442	0
chr5	122789901	122789901	0.14652395248413086	0
chr5	122797521	122797546	0.08244260400533676	0
chr5	122797901	122797926	0.20410186052322388	0
chr5	122801660	122801660	0.09903888404369354	0
chr5	122801828	122801828	-0.03681713342666626	0
chr5	122801850	122801850	0.037369824945926666	0
chr5	122802277	122802302	-0.2715075612068176	0
chr5	122802307	122802332	-0.3809472322463989	0
chr5	122806074	122806099	-0.02583761140704155	0
chr5	122806151	122806176	0.42780017852783203	0
chr5	122812480	122812505	-0.07243615388870239	0
chr5	122812566	122812591	0.05871468037366867	0
chr5	122822030	122822055	-0.052946653217077255	0
chr5	122822065	122822090	-0.07551194727420807	0
chr5	122826599	122826624	-0.556003749370575	0
chr5	122826715	122826740	0.29011067748069763	0
chr5	122833703	122833703	-0.21837344765663147	0
chr5	122834112	122834112	0.4719419479370117	0
chr5	122834239	122834239	-0.5774796009063721	0
chr5	122835051	122835051	-0.27907705307006836	0
chr5	122836045	122836070	0.2105022519826889	0
chr5	122836059	122836084	0.152740940451622	0
chr5	122838575	122838600	-0.0923447236418724	0
